,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
58,U001,0200759878,SA co,2020-04-29 08:54:08.613281250,2020.0,1930783249.0,2020-04-14 00:00:00,2020-04-29 00:00:00,2020-04-14 00:00:00,NAH4,18900.99,0-15
59,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
60,U001,0200515231,US  us,2020-05-05 02:46:06.062500,2020.0,1930768145.0,2020-04-09 00:00:00,2020-04-24 00:00:00,2020-04-09 00:00:00,NAA8,10187.66,0-15
61,U001,0200782669,SYGMA corp,2020-03-30 04:45:44.921875,2020.0,1930636977.0,2020-03-13 00:00:00,2020-03-28 00:00:00,2020-03-13 00:00:00,NAA8,237.4,0-15
62,U001,200769623,WAL-MAR foundation,2020-06-12 19:04:01.625000,2020.0,1930882979.0,2020-05-12 00:00:00,2020-05-27 00:00:00,2020-05-12 00:00:00,NAH4,11532.84,16-30
63,U001,0200769623,WAL-MAR ,2020-04-17 23:58:10.125000,2020.0,1930692833.0,2020-03-24 00:00:00,2020-04-08 00:00:00,2020-03-24 00:00:00,NAH4,20017.92,0-15
64,U001,0200331749,SYSC foundation,2020-03-16 08:29:00.515625,2020.0,1930579080.0,2020-02-28 00:00:00,2020-03-14 00:00:00,2020-02-28 00:00:00,NAA8,5320.85,0-15
65,U001,0200772670,ASSOCIAT associates,2020-05-09 07:34:37.039062500,2020.0,1930819529.0,2020-04-23 00:00:00,2020-05-08 00:00:00,2020-04-23 00:00:00,NAU5,30900.83,0-15
66,U001,0200772670,ASSOCIAT us,2020-04-17 20:04:40.164062500,2020.0,1930736164.0,2020-04-02 00:00:00,2020-04-17 00:00:00,2020-04-02 00:00:00,NAU5,65843.26,0-15
67,U001,0200706844,WINC foundation,2020-04-17 15:18:49.500000,2020.0,1930599854.0,2020-03-04 00:00:00,2020-03-19 00:00:00,2020-03-04 00:00:00,NAA8,359.44,16-30
68,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
69,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
70,U001,0200148860,DOLLA associates,2020-06-07 14:13:22.535156250,2020.0,1930732920.0,2020-04-03 00:00:00,2020-06-07 00:00:00,2020-04-03 00:00:00,NAGD,6543.44,0-15
71,CA02,0100027744,OMEGA AD in,2020-05-31 12:23:23.500000,2020.0,2960635652.0,2020-05-19 00:00:00,2020-05-19 00:00:00,2020-05-19 00:00:00,CAB1,4924.5,0-15
72,U001,0100031704,DELHAIZE co,2020-03-19 17:10:51.031250,2020.0,1930585468.0,2020-03-01 00:00:00,2020-03-16 00:00:00,2020-03-01 00:00:00,NAA8,106394.18,0-15
73,U001,0200799420,HT HA foundation,2020-04-19 23:11:41.625000,2020.0,1930703225.0,2020-03-25 00:00:00,2020-04-09 00:00:00,2020-03-25 00:00:00,NAA8,801.1,0-15
74,U001,0200974851,RESTA systems,2020-04-14 05:44:53.562500,2020.0,1930706997.0,2020-03-26 00:00:00,2020-04-10 00:00:00,2020-03-26 00:00:00,NAA8,3566.69,0-15
75,U001,0200769623,WAL-MAR in,2020-05-29 03:38:16,2020.0,1930830709.0,2020-04-28 00:00:00,2020-05-13 00:00:00,2020-04-28 00:00:00,NAH4,8885.57,16-30
76,U001,0200793568,SUPE llc,2020-03-26 11:57:25.335937500,2020.0,1930630388.0,2020-03-10 00:00:00,2020-03-25 00:00:00,2020-03-10 00:00:00,NAA8,15893.27,0-15
77,U001,0200759878,SA foundation,2020-03-21 00:57:32.758544922,2020.0,1930609945.0,2020-03-06 00:00:00,2020-03-21 00:00:00,2020-03-06 00:00:00,NAH4,70180.8,0-15
78,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
79,U001,0100047532,KEYSTON associates,2020-03-30 22:20:58.875000,2020.0,1930592834.0,2020-03-04 00:00:00,2020-03-19 00:00:00,2020-03-04 00:00:00,NAA8,11852.54,0-15
80,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
81,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
82,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
83,U001,0200555117,BURR trust,2020-04-13 06:16:34.453125,2020.0,1930709963.0,2020-03-27 00:00:00,2020-04-11 00:00:00,2020-03-27 00:00:00,NAA8,749.14,0-15
84,U001,200769623,WAL-MAR in,2020-06-08 22:54:03.875000,2020.0,1930878284.0,2020-05-09 00:00:00,2020-05-24 00:00:00,2020-05-09 00:00:00,NAH4,2219.89,16-30
85,U001,0200772670,ASSOCIAT corp,2020-04-06 07:22:52.585937500,2020.0,1930683241.0,2020-03-21 00:00:00,2020-04-05 00:00:00,2020-03-21 00:00:00,NAU5,15489.78,0-15
86,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
87,CA02,0140104392,FLANAG us,2020-04-03 01:11:52.625000,2020.0,2960619205.0,2020-03-06 00:00:00,2020-03-20 00:00:00,2020-03-10 00:00:00,CA10,2528.673,0-15
88,U001,0200769623,WAL-MAR corp,2020-05-29 01:03:25.750000,2020.0,1930831780.0,2020-04-28 00:00:00,2020-05-13 00:00:00,2020-04-28 00:00:00,NAH4,11545.38,16-30
89,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
90,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
91,U001,200793568,SUPE trust,2020-04-11 22:30:53.875000,2020.0,1930690537.0,2020-03-23 00:00:00,2020-04-07 00:00:00,2020-03-23 00:00:00,NAA8,1635.76,0-15
92,U001,0200726979,BJ'S  ,2020-03-27 08:30:16.130859375,2020.0,1930646128.0,2020-03-12 00:00:00,2020-03-27 00:00:00,2020-03-12 00:00:00,NAA8,1286.3,0-15
93,U001,0200704858,WAKE corp,2020-04-29 21:48:44.468750,2020.0,1930762384.0,2020-04-09 00:00:00,2020-04-24 00:00:00,2020-04-09 00:00:00,NAA8,99568.42,0-15
94,U001,0200780383,MEIJ in,2020-04-06 01:57:39.375000,2020.0,1930665025.0,2020-03-18 00:00:00,2020-04-02 00:00:00,2020-03-18 00:00:00,NAA8,3612.63,0-15
95,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
96,CA02,0140106271,LONGO  in,2020-04-19 21:30:05.906250,2020.0,2960626604.0,2020-04-03 00:00:00,2020-04-17 00:00:00,2020-04-07 00:00:00,CA10,8615.453,0-15
97,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
98,U001,0200741174,M B  co,2020-04-01 06:32:50.164062500,2020.0,1930657267.0,2020-03-16 00:00:00,2020-03-31 00:00:00,2020-03-16 00:00:00,NAA8,5767.83,0-15
99,CA02,0100030194,AMAZO llc,2020-04-02 18:13:42.562500,2020.0,2960622411.0,2020-03-18 00:00:00,2020-03-30 00:00:00,2020-03-20 00:00:00,CA10,9851.667,0-15
100,U001,0200769623,WAL-MAR trust,2020-04-30 22:15:10.250000,2020.0,1930720012.0,2020-03-30 00:00:00,2020-04-14 00:00:00,2020-03-30 00:00:00,NAH4,42379.83,16-30
101,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
102,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
103,U001,0200769623,WAL-MAR in,2020-05-16 14:25:29,2020.0,1930787980.0,2020-04-15 00:00:00,2020-04-30 00:00:00,2020-04-15 00:00:00,NAH4,22226.35,16-30
104,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
105,U001,0200744019,TARG corp,2020-05-18 19:12:39.812500,2020.0,1930641073.0,2020-03-13 00:00:00,2020-05-17 00:00:00,2020-03-13 00:00:00,NAGD,1982.06,0-15
106,U001,0200769623,WAL-MAR foundation,2020-05-26 12:30:02.500000,2020.0,1930804577.0,2020-04-21 00:00:00,2020-05-06 00:00:00,2020-04-21 00:00:00,NAH4,2326.08,16-30
107,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
108,U001,0200744019,TARG trust,2020-05-24 07:23:31.906250,2020.0,1930857489.0,2020-05-05 00:00:00,2020-05-20 00:00:00,2020-05-05 00:00:00,NAA8,29592.42,0-15
109,U001,0200772670,ASSOCIAT associates,2020-04-18 22:57:08.976562500,2020.0,1930739252.0,2020-04-03 00:00:00,2020-04-18 00:00:00,2020-04-03 00:00:00,NAU5,47903.76,0-15
110,U001,0200769623,WAL-MAR corporation,2020-04-28 07:20:44,2020.0,1930692953.0,2020-03-24 00:00:00,2020-04-08 00:00:00,2020-03-24 00:00:00,NAH4,1898.9,16-30
111,U001,0200900909,SYSCO in,2020-04-21 12:21:58.781250,2020.0,1930741081.0,2020-04-03 00:00:00,2020-04-18 00:00:00,2020-04-03 00:00:00,NAA8,7524.17,0-15
112,U001,0200424504,M  in,2020-04-19 00:26:50.031250,2020.0,1930830032.0,2020-04-28 00:00:00,2020-04-15 00:00:00,2020-04-15 00:00:00,NACG,2428.04,0-15
113,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
114,U001,0200764795,SYSCO  us,2020-04-20 02:58:35.078125,2020.0,1930637455.0,2020-03-18 00:00:00,2020-04-19 00:00:00,2020-03-18 00:00:00,NA32,10978.51,0-15
115,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
116,U001,0200416837,DEC llc,2020-03-25 18:29:45.640625,2020.0,1930599382.0,2020-03-04 00:00:00,2020-03-24 00:00:00,2020-03-01 00:00:00,NAM4,398.16,0-15
117,U001,0200769623,WAL-MAR llc,2020-04-07 10:49:56.750000,2020.0,1930623646.0,2020-03-09 00:00:00,2020-03-24 00:00:00,2020-03-09 00:00:00,NAH4,58726.21,0-15
118,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
119,U001,0200721222,GO us,2020-05-05 05:04:47.902343750,2020.0,1930800642.0,2020-04-20 00:00:00,2020-05-05 00:00:00,2020-04-20 00:00:00,NAA8,25685.07,0-15
120,U001,0200772595,SAFEW corporation,2020-04-18 00:38:58.054687500,2020.0,1930729101.0,2020-04-02 00:00:00,2020-04-17 00:00:00,2020-04-02 00:00:00,NAA8,10020.14,0-15
121,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
122,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
123,U001,0100043975,JAVA co,2020-03-30 07:09:50.625000,2020.0,1930586661.0,2020-03-02 00:00:00,2020-03-17 00:00:00,2020-03-02 00:00:00,NAA8,7212.0,0-15
124,U001,0200769623,WAL-MAR llc,2020-04-25 07:05:43.250000,2020.0,1930692548.0,2020-03-25 00:00:00,2020-04-09 00:00:00,2020-03-25 00:00:00,NAH4,15797.23,16-30
125,U001,0200769623,WAL-MAR foundation,2020-04-04 22:18:48.750000,2020.0,1930593446.0,2020-03-04 00:00:00,2020-03-19 00:00:00,2020-03-04 00:00:00,NAH4,14706.98,16-30
126,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
127,U001,0200769623,WAL-MAR us,2020-06-02 20:31:06,2020.0,1930827122.0,2020-04-27 00:00:00,2020-05-12 00:00:00,2020-04-27 00:00:00,NAH4,1898.9,16-30
128,U001,0200769623,WAL-MAR us,2020-05-12 07:43:16.250000,2020.0,1930750644.0,2020-04-06 00:00:00,2020-04-21 00:00:00,2020-04-06 00:00:00,NAH4,37684.36,16-30
129,U001,0200705372,FR corporation,2020-03-28 12:42:31.601562500,2020.0,1930637990.0,2020-03-13 00:00:00,2020-03-28 00:00:00,2020-03-13 00:00:00,NAA8,19961.05,0-15
130,U001,0200769623,WAL-MAR llc,2020-04-26 07:04:14.875000,2020.0,1930675431.0,2020-03-22 00:00:00,2020-04-06 00:00:00,2020-03-22 00:00:00,NAH4,11826.09,16-30
131,U001,0200742791,QUI in,2020-03-25 02:07:38.614257812,2020.0,1930603823.0,2020-03-10 00:00:00,2020-03-25 00:00:00,2020-03-10 00:00:00,NAA8,24843.48,0-15
132,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
133,U001,0200769623,WAL-MAR us,2020-05-14 13:58:18.250000,2020.0,1930752522.0,2020-04-06 00:00:00,2020-04-21 00:00:00,2020-04-06 00:00:00,NAH4,9937.06,16-30
134,U001,0200759878,SA corporation,2020-04-23 19:17:02.632812500,2020.0,1930752430.0,2020-04-08 00:00:00,2020-04-23 00:00:00,2020-04-08 00:00:00,NAH4,12417.47,0-15
135,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
136,U001,200769623,WAL-MAR ,2020-06-06 06:20:41.875000,2020.0,1930885637.0,2020-05-12 00:00:00,2020-05-27 00:00:00,2020-05-12 00:00:00,NAH4,22549.83,0-15
137,U001,0100043936,PAPA JO foundation,2020-04-02 20:09:39.750000,2020.0,1930627707.0,2020-03-10 00:00:00,2020-03-20 00:00:00,2020-03-10 00:00:00,NA10,18145.19,0-15
138,U001,0200744019,TARG co,2020-04-21 01:37:55.757812500,2020.0,1930748869.0,2020-04-05 00:00:00,2020-04-20 00:00:00,2020-04-05 00:00:00,NAA8,97776.0,0-15
139,U001,0200740393,LABAT ,2020-03-25 22:48:21.437500,2020.0,1930585380.0,2020-03-03 00:00:00,2020-03-18 00:00:00,2020-03-03 00:00:00,NAA8,52645.42,0-15
140,U001,0200769623,WAL-MAR systems,2020-04-22 04:17:41.125000,2020.0,1930671465.0,2020-03-20 00:00:00,2020-04-04 00:00:00,2020-03-20 00:00:00,NAH4,21113.92,16-30
141,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
142,U001,0200759878,SA in,2020-04-20 15:03:55.914062500,2020.0,1930748365.0,2020-04-05 00:00:00,2020-04-20 00:00:00,2020-04-05 00:00:00,NAH4,13548.66,0-15
143,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
144,U001,0200704858,WAKE llc,2020-04-03 17:17:40.968750,2020.0,1930655118.0,2020-03-16 00:00:00,2020-03-31 00:00:00,2020-03-16 00:00:00,NAA8,109248.63,0-15
145,U001,0200762301,C&S WH foundation,2020-03-31 09:05:20.445312500,2020.0,1930654407.0,2020-03-16 00:00:00,2020-03-31 00:00:00,2020-03-16 00:00:00,NAC6,7465.1,0-15
146,U001,0200803720,DEC corporation,2020-05-11 05:23:38.884765625,2020.0,1930872721.0,2020-05-07 00:00:00,2020-05-11 00:00:00,2020-05-01 00:00:00,NAM2,4729.18,0-15
147,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
148,U001,0200519201,KROGE llc,2020-04-13 06:52:48.484375,2020.0,1930709582.0,2020-03-28 00:00:00,2020-04-12 00:00:00,2020-03-28 00:00:00,NAA8,15477.22,0-15
149,U001,0200744019,TARG corp,2020-04-26 11:36:38.625000,2020.0,1930753198.0,2020-04-07 00:00:00,2020-04-22 00:00:00,2020-04-07 00:00:00,NAA8,19195.56,0-15
150,U001,0200786288,FAMILY in,2020-04-26 20:54:02.656250,2020.0,1930759958.0,2020-04-08 00:00:00,2020-04-23 00:00:00,2020-04-08 00:00:00,NAC6,66230.48,0-15
151,U001,0200418007,AM systems,2020-04-18 12:47:44.828125,2020.0,1930732102.0,2020-04-02 00:00:00,2020-04-17 00:00:00,2020-04-02 00:00:00,NAA8,47393.05,0-15
152,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
153,CA02,0140106408,WAL-M associates,2020-04-27 16:03:32,2020.0,2960622798.0,2020-03-23 00:00:00,2020-04-02 00:00:00,2020-03-23 00:00:00,CA10,5791.484999999999,16-30
154,U001,0200762301,C&S WH in,2020-06-10 02:58:29.968750,2020.0,1930721389.0,2020-04-01 00:00:00,2020-06-05 00:00:00,2020-04-01 00:00:00,NAGD,7943.13,0-15
155,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
156,U001,0200769623,WAL-MAR foundation,2020-04-09 02:31:55.500000,2020.0,1930611981.0,2020-03-08 00:00:00,2020-03-23 00:00:00,2020-03-08 00:00:00,NAH4,24282.42,16-30
157,U001,0200769623,WAL-MAR llc,2020-05-23 07:04:14.875000,2020.0,1930793187.0,2020-04-18 00:00:00,2020-05-03 00:00:00,2020-04-18 00:00:00,NAH4,10903.6,16-30
158,U001,200769623,WAL-MAR us,2020-04-28 17:45:47.125000,2020.0,1930692727.0,2020-03-24 00:00:00,2020-04-08 00:00:00,2020-03-24 00:00:00,NAH4,51516.27,16-30
159,U001,0200744019,TARG us,2020-05-13 20:14:28.687500,2020.0,1930813045.0,2020-04-21 00:00:00,2020-05-06 00:00:00,2020-04-21 00:00:00,NAA8,5887.21,0-15
160,U001,0200726979,BJ'S  systems,2020-03-28 06:05:23.265625,2020.0,1930643416.0,2020-03-12 00:00:00,2020-03-27 00:00:00,2020-03-12 00:00:00,NAA8,14149.02,0-15
161,U001,0200706844,WINC co,2020-05-09 07:47:04.500000,2020.0,1930760026.0,2020-03-31 00:00:00,2020-04-15 00:00:00,2020-03-31 00:00:00,NAA8,38905.5,16-30
162,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
163,U001,0200799367,MCL in,2020-04-15 13:31:41.765625,2020.0,1930720975.0,2020-03-31 00:00:00,2020-04-15 00:00:00,2020-03-31 00:00:00,NAA8,124605.44,0-15
164,U001,0200772595,SAFEW corporation,2020-04-09 16:15:00.636718750,2020.0,1930705040.0,2020-03-25 00:00:00,2020-04-09 00:00:00,2020-03-25 00:00:00,NAA8,32039.34,0-15
165,U001,CCU013,KRAFT F in,2020-04-02 04:18:07.250000,2020.0,1930570370.0,2020-02-28 00:00:00,2020-02-28 00:00:00,2020-02-28 00:00:00,NAX2,37209.64,31-45
166,U001,0200726979,BJ'S  in,2020-03-25 20:52:13.687500,2020.0,1930629390.0,2020-03-09 00:00:00,2020-03-24 00:00:00,2020-03-09 00:00:00,NAA8,467.72,0-15
167,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0-15
